sector,stocks,flash_stocks,flash_days,median_maxspike,pct_flash
Utilities,11,6,7,0.1009174311926605,0.5454545454545454
Academic & Educational Services,2,1,1,0.07190191627161645,0.5
Energy,17,8,12,0.094,0.47058823529411764
Consumer Non-Cyclicals,73,24,30,0.0667447306791569,0.3287671232876712
Financials,47,14,18,0.0638766519823788,0.2978723404255319
Technology,251,72,96,0.0717821782178217,0.2868525896414343
Consumer Cyclicals,134,36,42,0.06386946386946385,0.26865671641791045
Healthcare,154,37,41,0.06586176980913819,0.24025974025974026
Industrials,191,44,57,0.0672645739910313,0.23036649214659685
Basic Materials,112,22,28,0.07138029923721535,0.19642857142857142
Real Estate,1,0,0,0.0223350253807106,0.0
