code,name,date,session,kind,direction,spike,bar_time,open,high,low,close,bar_vol,bar_vol_vs_reg,liq_pct
067310,Hana Micron Inc,2025-10-13,pre,intrabar,up,0.33544303797468356,08:00,23700.0,31650.0,22550.0,23300.0,306715,0.11001251434271365,0.8952668680765358
352480,C&C International Co Ltd,2026-02-26,pre,intrabar,up,0.32505643340857787,08:00,22150.0,38850.0,22150.0,31650.0,5298,0.28765338256053863,0.4038267875125881
066970,L&F Co Ltd,2026-02-03,pre,intrabar,down,0.31037037037037035,08:00,135000.0,136700.0,86400.0,128300.0,83098,0.1457049325199845,0.9496475327291037
087010,Peptron Inc,2025-06-04,pre,intrabar,up,0.3027295285359802,08:00,161200.0,210000.0,161000.0,161000.0,454023,0.38368281348635924,0.9577039274924471
034120,Seoul Broadcasting System,2026-01-09,pre,intrabar,down,0.2988197424892704,08:00,18640.0,18790.0,13060.0,18630.0,2000,0.1318478475838882,0.27895266868076535
475400,Cmes Robotics Inc,2026-01-27,pre,intrabar,down,0.2983490566037736,08:00,42400.0,46350.0,29750.0,42650.0,152571,0.7765336400698301,0.6686807653575025
081180,SEC Co Ltd,2025-09-12,pre,intrabar,up,0.2975609756097561,08:00,8200.0,11940.0,8200.0,9500.0,21009,0.021317052728986586,0.24269889224572003
241710,Cosmecca Korea Co Ltd,2025-06-18,pre,intrabar,down,0.2962962962962963,08:00,56700.0,57700.0,39900.0,57400.0,5092,0.09079400174741009,0.6304128902316214
486990,Nota Inc,2026-01-15,pre,intrabar,down,0.2939330543933054,08:00,47800.0,49850.0,33750.0,49050.0,318203,1.0311212933288831,0.8690835850956697
304100,Saltlux Inc,2025-07-24,pre,intrabar,down,0.2936708860759494,08:00,39500.0,40050.0,27900.0,39900.0,24275,0.13323271130625686,0.649546827794562
093370,Foosung Co Ltd,2025-10-28,pre,intrabar,down,0.2936259143155695,08:00,9570.0,10000.0,6600.0,9410.0,1233910,0.1626785326064386,0.6455186304128903
338840,Y Biologics Inc,2025-06-17,pre,intrabar,down,0.29209302325581393,08:00,10750.0,11250.0,7560.0,10700.0,12468,0.18561305305782172,0.6636455186304129
440110,Fadu Inc,2025-08-19,pre,intrabar,down,0.2916666666666667,08:00,12480.0,12600.0,8730.0,12370.0,8847,0.1899394563957233,0.47230614300100704
001060,JW Pharmaceutical Corp,2025-08-26,pre,intrabar,down,0.29069767441860467,08:00,21500.0,21900.0,15250.0,21850.0,826,0.08220541401273886,0.4551863041289023
042700,Hanmi Semiconductor Co Ltd,2025-07-14,pre,intrabar,down,0.29011689691817216,08:00,94100.0,96200.0,66800.0,94500.0,71964,0.08903923150398155,0.9939577039274925
005380,Hyundai Motor Co,2025-06-16,pre,intrabar,down,0.2899949212798375,08:00,196900.0,200000.0,139300.0,196400.0,44583,0.21925562364142462,0.9969788519637462
084690,Daesang Holdings Co Ltd,2025-06-11,pre,intrabar,down,0.2894499549143372,08:00,11090.0,11420.0,7880.0,11130.0,27933,0.1527102752644671,0.31419939577039274
484590,Samyang Comtech Co Ltd,2026-04-08,pre,intrabar,down,0.28453267162944584,08:00,12090.0,12340.0,8490.0,11930.0,135096,0.5221202342074243,0.7240684793554885
489790,Hanwha Vision Co Ltd,2025-07-31,pre,intrabar,down,0.2842998585572843,08:00,70700.0,70700.0,47300.0,67400.0,101165,0.0934889063650822,0.932527693856999
329180,HD Hyundai Heavy Industries Co Ltd,2025-09-29,pre,intrabar,down,0.28229166666666666,08:00,480000.0,497500.0,344500.0,486500.0,7997,0.3265547796970068,0.9647532729103726
045660,Atec Co Ltd,2025-06-04,pre,intrabar,down,0.281947261663286,08:00,19720.0,20600.0,14160.0,20100.0,83451,0.17832248524503289,0.17119838872104734
000100,Yuhan Corp,2026-02-11,pre,intrabar,down,0.2818181818181818,08:00,110000.0,120500.0,78100.0,109100.0,49701,0.47478983568972105,0.9214501510574018
091700,Partron Co Ltd,2025-07-28,pre,intrabar,down,0.28173374613003094,08:00,6460.0,6620.0,4640.0,6580.0,1678,0.027484316904984193,0.19838872104733132
026960,Dong Suh Companies Inc,2025-12-29,pre,intrabar,down,0.28125,08:00,28800.0,28900.0,20250.0,28350.0,7492,0.1618771876755542,0.44008056394763345
253450,Studio Dragon Corp,2025-11-14,pre,intrabar,down,0.27939317319848295,08:00,39550.0,41500.0,28500.0,39950.0,2299,0.08746433326992581,0.5317220543806647
006220,Jeju Bank,2025-06-18,pre,intrabar,down,0.27783452502553624,08:00,9790.0,10100.0,7070.0,9980.0,27627,0.28881919397835976,0.7270896273917422
236200,Suprema Inc,2025-09-18,pre,intrabar,down,0.2774390243902439,08:00,32800.0,34050.0,23700.0,34050.0,1817,0.3451747720364742,0.3031218529707956
018260,Samsung SDS Co Ltd,2025-07-16,pre,intrabar,down,0.2772166105499439,08:00,178200.0,184000.0,128800.0,181600.0,8333,0.05761718074771654,0.8489425981873112
100840,SNTEnergy Co Ltd,2025-08-18,pre,intrabar,down,0.27657378740970073,08:00,48450.0,50200.0,34950.0,48350.0,19668,0.34541622760800844,0.7613293051359517
178920,PI Advanced Materials Co Ltd,2025-11-21,pre,intrabar,down,0.27617328519855594,08:00,16620.0,17110.0,12030.0,16690.0,12325,0.21893985149394252,0.486404833836858
