name,code,date,session,direction,spike,nxt_extreme,krx_open,krx_low,krx_high,outside_krx
Hana Micron Inc,067310,2025-10-13,pre,up,0.3354430379746835,31650.0,23400.0,23300.0,28350.0,True
C&C International Co Ltd,352480,2026-02-26,pre,up,0.3250564334085778,38850.0,31800.0,30900.0,32050.0,True
L&F Co Ltd,066970,2026-02-03,pre,down,0.3103703703703703,86400.0,127400.0,110200.0,127500.0,True
Peptron Inc,087010,2025-06-04,pre,up,0.3027295285359802,210000.0,161000.0,161000.0,167400.0,True
Seoul Broadcasting System,034120,2026-01-09,pre,down,0.2988197424892704,13060.0,18620.0,18390.0,18640.0,True
Cmes Robotics Inc,475400,2026-01-27,pre,down,0.2983490566037736,29750.0,42200.0,40500.0,43750.0,True
SEC Co Ltd,081180,2025-09-12,pre,up,0.2975609756097561,11940.0,9790.0,9360.0,10710.0,True
Cosmecca Korea Co Ltd,241710,2025-06-18,pre,down,0.2962962962962963,39900.0,57100.0,56000.0,60300.0,True
Nota Inc,486990,2026-01-15,pre,down,0.2939330543933054,33750.0,48900.0,48150.0,49400.0,True
Saltlux Inc,304100,2025-07-24,pre,down,0.2936708860759494,27900.0,40050.0,38200.0,40050.0,True
Foosung Co Ltd,093370,2025-10-28,pre,down,0.2936259143155695,6600.0,9290.0,9030.0,10410.0,True
Y Biologics Inc,338840,2025-06-17,pre,down,0.2920930232558139,7560.0,10820.0,10030.0,10880.0,True
Fadu Inc,440110,2025-08-19,pre,down,0.2916666666666667,8730.0,12470.0,11880.0,12480.0,True
JW Pharmaceutical Corp,001060,2025-08-26,pre,down,0.2906976744186046,15250.0,21850.0,21450.0,21850.0,True
Hanmi Semiconductor Co Ltd,042700,2025-07-14,pre,down,0.2901168969181721,66800.0,93800.0,89200.0,94200.0,True
Hyundai Motor Co,005380,2025-06-16,pre,down,0.2899949212798375,139300.0,198400.0,196200.0,202000.0,True
Daesang Holdings Co Ltd,084690,2025-06-11,pre,down,0.2894499549143372,7880.0,11140.0,10660.0,11190.0,True
Samyang Comtech Co Ltd,484590,2026-04-08,pre,down,0.2845326716294458,8490.0,11900.0,11800.0,12070.0,True
Hanwha Vision Co Ltd,489790,2025-07-31,pre,down,0.2842998585572843,47300.0,66800.0,60200.0,69100.0,True
HD Hyundai Heavy Industries Co Ltd,329180,2025-09-29,pre,down,0.2822916666666666,344500.0,493500.0,486500.0,495500.0,True
Atec Co Ltd,045660,2025-06-04,pre,down,0.281947261663286,14160.0,20400.0,15640.0,20450.0,True
Yuhan Corp,000100,2026-02-11,pre,down,0.2818181818181818,78100.0,108900.0,107600.0,109200.0,True
Partron Co Ltd,091700,2025-07-28,pre,down,0.2817337461300309,4640.0,6550.0,6430.0,6600.0,True
Dong Suh Companies Inc,026960,2025-12-29,pre,down,0.28125,20250.0,28250.0,27400.0,28250.0,True
Studio Dragon Corp,253450,2025-11-14,pre,down,0.2793931731984829,28500.0,40250.0,39600.0,40300.0,True
Jeju Bank,006220,2025-06-18,pre,down,0.2778345250255362,7070.0,9900.0,9860.0,10090.0,True
Suprema Inc,236200,2025-09-18,pre,down,0.2774390243902439,23700.0,34100.0,33700.0,34250.0,True
Samsung SDS Co Ltd,018260,2025-07-16,pre,down,0.2772166105499439,128800.0,182200.0,180100.0,191800.0,True
SNTEnergy Co Ltd,100840,2025-08-18,pre,down,0.2765737874097007,34950.0,48500.0,46700.0,49750.0,True
PI Advanced Materials Co Ltd,178920,2025-11-21,pre,down,0.2761732851985559,12030.0,16610.0,16070.0,16690.0,True
Hyundai Wia Corp,011210,2025-07-23,pre,down,0.276,36200.0,51500.0,51400.0,52700.0,True
Hanwha Engine Co Ltd,082740,2025-08-06,pre,down,0.275,27100.0,37250.0,36400.0,37700.0,True
KakaoPay Corp,377300,2025-11-14,pre,down,0.2746212121212121,37800.0,52400.0,51700.0,53200.0,True
Refine Co Ltd,377450,2025-08-01,pre,down,0.2724568709101725,12230.0,17480.0,16200.0,17480.0,True
Green Chemical Co Ltd,083420,2025-06-23,pre,down,0.2710843373493976,5980.0,8270.0,8110.0,8610.0,True
