RIC,DTSubjectName,ExchangeCode,ExchangeName,RCSTRBC2012Leaf,RCSAssetCategoryLeaf,AssetState,code6
000660.KNT,SK Hynix Inc,KNT,NEXTRADE,Semiconductors (NEC),Ordinary Share,AC,000660
005930.KNT,Samsung Electronics Co Ltd,KNT,NEXTRADE,Phones & Handheld Devices (NEC),Ordinary Share,AC,005930
006220.KNT,Jeju Bank,KNT,NEXTRADE,Corporate Banks,Ordinary Share,AC,006220
180640.KNT,Hanjin Kal Corp,KNT,NEXTRADE,Courier Services,Ordinary Share,AC,180640
005380.KNT,Hyundai Motor Co,KNT,NEXTRADE,Auto & Truck Manufacturers (NEC),Ordinary Share,AC,005380
174900.KNT,AbClon Inc,KNT,NEXTRADE,Biopharmaceuticals,Ordinary Share,AC,174900
103140.KNT,Poongsan Corp,KNT,NEXTRADE,Specialty Mining & Metals (NEC),Ordinary Share,AC,103140
006800.KNT,Mirae Asset Securities Co Ltd,KNT,NEXTRADE,Investment Banking,Ordinary Share,AC,006800
000270.KNT,Kia Corp,KNT,NEXTRADE,Automobiles & Multi Utility Vehicles,Ordinary Share,AC,000270
033790.KNT,Fino Inc,KNT,NEXTRADE,Specialty Chemicals (NEC),Ordinary Share,AC,033790
005490.KNT,Posco Holdings Inc,KNT,NEXTRADE,Iron & Steel (NEC),Ordinary Share,AC,005490
298040.KNT,Hyosung Heavy Industries Corp,KNT,NEXTRADE,Heavy Electrical Equipment (NEC),Ordinary Share,AC,298040
064350.KNT,Hyundai Rotem Co,KNT,NEXTRADE,Locomotive Engines & Rolling Stock,Ordinary Share,AC,064350
004370.KNT,Nongshim Co Ltd,KNT,NEXTRADE,Ready-Made Meals,Ordinary Share,AC,004370
072710.KNT,Nongshim Holdings Co Ltd,KNT,NEXTRADE,Food Processing (NEC),Ordinary Share,AC,072710
348210.KNT,Nextin Inc,KNT,NEXTRADE,Semiconductor Equipment & Testing (NEC),Ordinary Share,AC,348210
161390.KNT,Hankook Tire & Technology Co Ltd,KNT,NEXTRADE,Tire & Tube Manufacturers,Ordinary Share,AC,161390
