code,mktcap,sector
084690,348846968040.0,Consumer Non-Cyclicals
448280,327169005683.582,Industrials
001430,1918623366500.0,Basic Materials
117730,415650709731.997,Industrials
181710,1667134775100.0,Technology
084850,289527116295.739,Technology
452430,349302679357.598,Technology
101930,465337252800.0,Industrials
437730,1632289623100.93,Consumer Cyclicals
199800,436000070034.52,Healthcare
002960,639600000000.0,Energy
036560,202303848062.808,Industrials
101730,348677963241.264,Technology
352480,278741825566.67,Consumer Non-Cyclicals
304100,238522821909.825,Technology
093370,1230218635100.0,Basic Materials
001060,666195008150.0,Healthcare
042700,26878040400000.0,Technology
253450,800951746219.327,Consumer Cyclicals
236200,299663429769.665,Technology
100840,788971871450.0,Industrials
377450,174936198608.27,Financials
005930,2015750487343499.8,Technology
002380,4726092800000.0,Basic Materials
030610,1299177755400.0,Financials
033240,856658154300.0,Technology
094170,826810085204.963,Technology
082920,2402567793563.76,Industrials
015760,24972402595300.0,Utilities
064760,2984546789229.53,Technology
127120,1445699799034.08,Healthcare
032500,1417543104529.47,Technology
006110,1100987524000.0,Basic Materials
016610,466910279000.0,Financials
200130,311749834611.047,Consumer Non-Cyclicals
096770,20235485927200.0,Energy
053610,709933503790.158,Technology
226330,52787445680.7845,Technology
082270,669861529366.726,Technology
107640,478629148800.0,Consumer Cyclicals
069080,327875745050.764,Technology
051500,273280314073.256,Consumer Non-Cyclicals
001720,2827680000000.0,Financials
004000,1359660000000.0,Basic Materials
025950,115257659006.136,Industrials
000670,951832311100.0,Technology
009970,2585103885500.0,Consumer Cyclicals
029530,407089045100.0,Technology
036540,1378471568711.89,Technology
014940,276390944206.52,Industrials
018250,373964679600.0,Consumer Non-Cyclicals
372170,217034233852.485,Industrials
000440,103134304992.011,Energy
079160,755055675600.0,Consumer Cyclicals
336370,863057328400.0,Technology
067310,2708444110988.55,Technology
066970,6808658462100.0,Basic Materials
087010,7070645896644.01,Healthcare
034120,246916977780.0,Consumer Cyclicals
475400,310296273456.193,Industrials
081180,84465245297.3469,Technology
241710,768215145710.504,Consumer Non-Cyclicals
486990,827933231842.638,Technology
338840,261470758112.687,Healthcare
440110,5657560841110.51,Technology
005380,164547123160000.0,Consumer Cyclicals
484590,352059939389.19,Industrials
489790,3387770969000.0,Technology
329180,73053012600000.0,Industrials
045660,76556359897.8596,Technology
000100,6854601389000.0,Healthcare
091700,352095586170.938,Technology
026960,2447635000000.0,Consumer Non-Cyclicals
006220,376095642150.0,Financials
018260,23135962200000.0,Technology
178920,734158050000.0,Basic Materials
011210,2474752553000.0,Consumer Cyclicals
082740,5357306516400.0,Industrials
377300,6296179601250.0,Technology
083420,117480000000.0,Basic Materials
084110,396006451879.593,Healthcare
